IRI,Speed,Vert_Displacement,Travel_Distance,latitude,longitude,time
0.5597154324500889,7.8334606749999995,0.010861626752814275,0.0194056231490148,6.686930461168708,-1.5740105624964664,3.0
0.3909844019074368,8.6110984,0.004505318464637921,0.0115230133034937,6.686939053986155,-1.5741145417013798,8.0
0.3002265372388667,9.90377975,0.0033108293120278002,0.011027770371256799,6.686946297106552,-1.5742141294479073,12.0
0.5880302611365179,9.85361575,0.006851394544223025,0.0116514319024687,6.686953949852527,-1.574319349254406,16.0
1.4914963212774783,13.555863666666667,0.0191754120978334,0.0128564930561877,6.686962394091651,-1.5744354515279384,19.0
0.6588989756110657,14.177978333333334,0.007335339073170466,0.011132721926555799,6.686969706145345,-1.574535987058223,22.0
33.06476947417584,7.806420759999999,0.43946112212185023,0.0132909174662499,6.686977338231105,-1.574656085549375,52.0
0.2307650212201483,10.637135,0.00252968232784685,0.0109621567188623,6.686982999565792,-1.574755182045354,54.0
0.8489178027310661,15.4266315,0.00858897260881925,0.0101175550579662,6.68698822471149,-1.5748466434512582,56.0
1.0907141877510367,18.601515,0.0122386931506586,0.0112208067778909,6.68699401962445,-1.5749480781129863,57.0
0.3460406365498079,20.675835499999998,0.0049297119184529,0.0142460491565514,6.687001376904334,-1.575076860581586,59.0
0.6452399348726053,23.6740405,0.00945637028784465,0.0146555874439354,6.687008945687731,-1.575209345226121,61.0
0.42266180750934046,25.037491000000003,0.0061639765844117,0.0145837084754233,6.687018248995902,-1.575341065059122,63.0
0.3047600858961683,25.627654999999997,0.0044837539423413005,0.0147124054291969,6.687027925176195,-1.5754739264577562,65.0
0.12390180094730117,25.3689535,0.0017949287303236,0.014486704120523901,6.687037452915512,-1.5756047496476098,67.0
0.0861904949462586,23.983836500000002,0.00114218823797885,0.0132519048497288,6.6870461685416585,-1.5757244218989268,69.0
0.6135804682675431,23.0796185,0.0064136595781516,0.0104528418192005,6.687053043256196,-1.5758188170177565,71.0
0.8288097091929593,20.1937305,0.009147760722694648,0.011037226785871199,6.687060302314147,-1.575918489467317,73.0
0.7548060163489823,16.582043000000002,0.009284562338916799,0.012300593977544702,6.687068826623266,-1.57602953724857,76.0
8.583429643357123,10.319697216666667,0.10966016712343392,0.0127757984488522,6.687078191444683,-1.5761448348535834,91.0
0.07345584690040748,15.403657333333333,0.0009939983780750668,0.013531916382677398,6.687088110510277,-1.57626695619003,94.0
0.5852885792822812,20.0096395,0.00667253708417365,0.0114004224930477,6.687096467164087,-1.576369841459004,96.0
0.7544773918138977,22.117542,0.009134086146080501,0.0121065074251205,6.687105341387235,-1.5764790989269042,98.0
0.3690513579704206,27.42286,0.00542983913555325,0.0147129634352638,6.687116126175837,-1.5766118788530974,100.0
0.30162597955841686,29.8156465,0.00516981771551225,0.0171398290130078,6.687128689887954,-1.576766560491187,102.0
0.09178633005800273,28.4023275,0.00144671851870405,0.015761808079589,6.687140243493527,-1.57690880592146,104.0
0.04462619627118301,29.7301885,0.0007142838600008,0.0160059319342447,6.6871518977928375,-1.577053260897527,106.0
